DateTime,ID,Device_ID,Device_type,Device,Site,Ambient,DevicexAmbient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Species,AIRTEMP,WINDSPEED,PRECIPITATION,RAD,GROUNDTEMP,RH,AIRP,Day,Week
2023-08-23 08:30:00,2747.0,ID4_0010,ID,ID4,Site4,Meadow,IDxMeadow,2023-08-23 08:30:47.847000,2023-08-23 08:30:53.586000,00:00:05.739000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,25.0,1.07,0.0,365.85,20.75,69.85,991.87,1,1
2023-08-23 08:30:00,2748.0,ID4_0011,ID,ID4,Site4,Meadow,IDxMeadow,2023-08-23 08:40:19.033000,2023-08-23 08:40:30.566000,00:00:11.533000,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,25.0,1.07,0.0,365.85,20.75,69.85,991.87,1,1
2023-08-23 08:45:00,268.0,FAIRD2_0304,FAIRD,FAIRD2,Site2,Maize,FAIRDxMaize,2023-08-23 08:48:03,2023-08-23 08:48:23,00:00:20,fly,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,0,Fannia,#N/C,25.0,1.07,0.0,405.225,20.725,66.975,991.87,1,1
2023-08-23 08:45:00,467.0,FAIRD3_0532,FAIRD,FAIRD3,Site3,Meadow,FAIRDxMeadow,2023-08-23 08:54:06,2023-08-23 08:54:12,00:00:06,flesh_fly,Insecta,Diptera,Brachycera,Muscomorpha,Oestroidea,#N/C,#N/C,#N/C,#N/C,25.0,1.07,0.0,405.225,20.725,66.975,991.87,1,1
2023-08-23 08:45:00,468.0,FAIRD3_0533,FAIRD,FAIRD3,Site3,Meadow,FAIRDxMeadow,2023-08-23 08:57:11,2023-08-23 08:57:27,00:00:16,fly,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,#N/C,#N/C,#N/C,#N/C,25.0,1.07,0.0,405.225,20.725,66.975,991.87,1,1
2023-08-23 08:45:00,469.0,FAIRD3_0534,FAIRD,FAIRD3,Site3,Meadow,FAIRDxMeadow,2023-08-23 08:57:26,2023-08-23 08:57:41,00:00:15,fly,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Fanniidae,0,Fannia,#N/C,25.0,1.07,0.0,405.225,20.725,66.975,991.87,1,1
2023-08-23 08:45:00,470.0,FAIRD3_0535,FAIRD,FAIRD3,Site3,Meadow,FAIRDxMeadow,2023-08-23 08:58:48,2023-08-23 08:59:14,00:00:26,fly,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,#N/C,#N/C,#N/C,#N/C,25.0,1.07,0.0,405.225,20.725,66.975,991.87,1,1
2023-08-23 08:45:00,743.0,FAIRD4_0809,FAIRD,FAIRD4,Site4,Meadow,FAIRDxMeadow,2023-08-23 08:59:16,2023-08-23 08:59:22,00:00:06,hoverfly,Insecta,Diptera,Brachycera,Muscomorpha,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,#N/C,25.0,1.07,0.0,405.225,20.725,66.975,991.87,1,1
2023-08-23 09:00:00,2751.0,ID4_0016,ID,ID4,Site4,Meadow,IDxMeadow,2023-08-23 09:09:39.391000,2023-08-23 09:09:49.435000,00:00:10.044000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,25.0,1.07,0.0,444.6,20.7,64.1,991.87,1,1
2023-08-23 09:00:00,2750.0,ID4_0013,ID,ID4,Site4,Meadow,IDxMeadow,2023-08-23 09:01:07.517000,2023-08-23 09:02:03.297000,00:00:55.780000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,#N/C,25.0,1.07,0.0,444.6,20.7,64.1,991.87,1,1
