"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,4.47934620046353,4.47934620046353,1.78770238489993,0.198823805469788,""
"Ambient",1,22.0393030329242,22.0393030329242,8.7958627956494,0.00866366845966501,"**"
"Temperature",1,0.598364034318251,0.598364034318251,0.23880646043353,0.631313764809503,""
"Wind Speed",1,15.9040981810482,15.9040981810482,6.34730895437379,0.0220541705949337,"*"
"Ground temp.",1,0.492080057407335,0.492080057407335,0.196388636381299,0.663239552822566,""
"Air pressure",1,4.77996848967648,4.77996848967648,1.90768042618739,0.185107994100739,""
"Residuals",17,42.5959522407544,2.50564424945614,NA,NA,""
