"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"Week","2-1",0,-13.8888888888889,-23.9485821446733,-3.82919563310448,0.00417584081015343
"Week","3-1",0,-21.7536231884058,-32.2415784125247,-11.2656679642868,1.28791512398196e-05
"Week","3-2",0,-7.8647342995169,-18.3526895236358,2.62322092460205,0.178797669286934
