"term","df","sumsq","meansq","statistic","p.value","significance"
"Week",2,6141.63711650667,3070.81855825334,12.8584335259755,1.61114451796367e-05,"***"
"Residuals",74,17672.4927536232,238.817469643557,NA,NA,""
