"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,17.132737020112,17.132737020112,0.118268289547629,0.734509570381791,""
"Ambient",1,397.248696540702,397.248696540702,2.74223107549845,0.113335037926328,""
"Temperature",1,1628.30499263384,1628.30499263384,11.2402849652454,0.00316878604517934,"**"
"Wind Speed",1,1363.59526710894,1363.59526710894,9.4129781883013,0.00606843341987623,"**"
"Rain",1,95.4321519784589,95.4321519784589,0.658773748122816,0.426548053889549,""
"Ground temp.",1,3959.92993596627,3959.92993596627,27.3356288435063,4.07529674269467e-05,"***"
"Air pressure",1,27.3774094725372,27.3774094725372,0.188987864972252,0.668414858152333,""
"Residuals",20,2897.26639078725,144.863319539362,NA,NA,""
