"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,164.271356764599,164.271356764599,0.872781556684503,0.360327896273256,""
"Ambient",1,2432.89285714282,2432.89285714282,12.9260758352811,0.00160966379835552,"**"
"Temperature",1,148.605601540267,148.605601540267,0.789548651687416,0.383849275515464,""
"Wind Speed",1,352.6302877023,352.6302877023,1.87354154428731,0.184885172438181,""
"Ground temp.",1,186.191428020681,186.191428020681,0.989243941182454,0.330741627592463,""
"Air pressure",1,161.377688797645,161.377688797645,0.857407360704948,0.364512135674731,""
"Residuals",22,4140.74956229577,188.215889195262,NA,NA,""
