"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,5.40485111557427,5.40485111557427,0.00552005520896732,0.94164126028803,""
"Ambient",1,155.041666666664,155.041666666664,0.158346370952599,0.695636183277207,""
"Temperature",1,498.359114101786,498.359114101786,0.508981610206964,0.48525972688095,""
"Wind Speed",1,215.69713427731,215.69713427731,0.220294706397344,0.644779016670571,""
"Rain",1,531.134266273526,531.134266273526,0.542455362878704,0.471459270975195,""
"Ground temp.",1,393.964189287508,393.964189287508,0.402361513521918,0.534315780164436,""
"Air pressure",1,13.4322679508477,13.4322679508477,0.0137185759764344,0.908132597022251,""
"Residuals",17,16645.2083333333,979.129901960782,NA,NA,""
