"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,160.398825917669,160.398825917669,1.15710122259966,0.287801167206643,""
"Ambient",1,554.820305422782,554.820305422782,4.00241865895791,0.0514900626623677,""
"Temperature",1,111.597837186706,111.597837186706,0.805055729737676,0.374361475338347,""
"Wind Speed",1,187.332490383283,187.332490383283,1.3513980069056,0.251162039254354,""
"Ground temp.",1,154.773777128207,154.773777128207,1.11652267849729,0.296308260466167,""
"Air pressure",1,157.622854012209,157.622854012209,1.13707563658098,0.291958954521958,""
"Residuals",45,6237.95656362589,138.621256969464,NA,NA,""
