"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,25.7205819004375,25.7205819004375,0.0418365996169858,0.838874780672922,""
"Ambient",1,198.525523369339,198.525523369339,0.322917765511918,0.572748285146399,""
"Temperature",1,159.190348014959,159.190348014959,0.258935932265094,0.613394445817727,""
"Wind Speed",1,276.513643453476,276.513643453476,0.44977172890479,0.505948605914473,""
"Rain",1,519.342381707753,519.342381707753,0.84475224439885,0.363052504428979,""
"Ground temp.",1,3581.7646082178,3581.7646082178,5.82602883621964,0.0200201795570626,"*"
"Air pressure",1,46.9890175953115,46.9890175953115,0.0764314245743057,0.783487508283082,""
"Residuals",44,27050.6115214912,614.786625488437,NA,NA,""
