"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,79.2719286801482,26.4239762267161,2.23548252716634,0.0869334609143724,""
"AIRTEMP",1,14.555905670403,14.555905670403,1.23143740798436,0.269085992816882,""
"WINDSPEED",1,4.3779736366943,4.3779736366943,0.370378912138512,0.543812940394518,""
"RAD",1,81.0938616724254,81.0938616724254,6.86058408748732,0.0098121374156174,"**"
"GROUNDTEMP",1,8.34643538944924,8.34643538944924,0.706112899782737,0.402212134461908,""
"RH",1,23.4324278040912,23.4324278040912,1.98239592995738,0.161419968705452,""
"AIRP",1,2.87347174175876,2.87347174175876,0.243097246829694,0.622773174582293,""
"Residuals",136,1607.5548447201,11.8202562111772,NA,NA,""
