"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,29.7184557062288,9.90615190207628,0.62721876281056,0.598007979305889,""
"AIRTEMP",1,45.7864241571607,45.7864241571607,2.89901715593062,0.0898287024443742,""
"WINDSPEED",1,21.9429120714182,21.9429120714182,1.38933930126906,0.239594284098587,""
"Rain",1,58.9424106670519,58.9424106670519,3.73200272528746,0.0544659319970634,""
"RAD",1,106.690146589801,106.690146589801,6.75520246505672,0.00988140091527413,"**"
"GROUNDTEMP",1,28.5900820587506,28.5900820587506,1.81021208586388,0.179654989883931,""
"RH",1,6.97452255022522,6.97452255022522,0.441599467521766,0.506940404793408,""
"AIRP",1,1.16547518045068,1.16547518045068,0.0737933264091653,0.786107281664469,""
"Residuals",260,4106.38145293773,15.7937748189913,NA,NA,""
