"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,1570.34351799396,523.447839331321,16.7375706352651,6.60941369020399e-10,"***"
"AIRTEMP",1,209.672729887832,209.672729887832,6.70441611005514,0.0102050376499961,"*"
"WINDSPEED",1,668.86852512439,668.86852512439,21.3874876229816,6.13610805905721e-06,"***"
"RAD",1,36.8503991570378,36.8503991570378,1.17831446131586,0.278788529446189,""
"GROUNDTEMP",1,114.098056454204,114.098056454204,3.64835640870788,0.0573165921320208,""
"RH",1,52.0852080859334,52.0852080859334,1.66545696416371,0.198110023245996,""
"AIRP",1,97.0397875743506,97.0397875743506,3.10290763838412,0.0794258631116092,""
"Residuals",240,7505.71777572229,31.2738240655095,NA,NA,""
