"Sum Sq","Df","F value","Pr(>F)"
593.228405691341,3,8.55892675509209,1.3991027512391e-05
161.267378920089,2,3.49007819986511,0.0310677545297042
35.5520792607604,1,1.53880515227249,0.215240577611234
198.80372344862,1,8.60484675705993,0.00347005161598972
43.5846427481811,1,1.88647961569104,0.170070160124054
10.2975996618607,1,0.445712311212138,0.504613681247548
9.74886584581873,1,0.421961395909599,0.5161880407673
56.3300643603361,1,2.4381413145981,0.118900204265419
29.3002955664633,1,1.26820840632364,0.260516113543753
15109.8141322184,654,NA,NA
