"term","df","sumsq","meansq","statistic","p.value","significance"
"Ambient",1,253.643910943553,253.643910943553,10.6500243831974,0.00115782723088439,"**"
"Week",2,546.557340652211,273.278670326105,11.4744505064365,1.26442740449967e-05,"***"
"AIRTEMP",1,11.7802236523168,11.7802236523168,0.494629138424747,0.482119112763779,""
"WINDSPEED",1,485.220331524093,485.220331524093,20.3734769059949,7.55122052960315e-06,"***"
"Rain",1,42.6004192904483,42.6004192904483,1.78871041094566,0.181546883048809,""
"RAD",1,12.622618734204,12.622618734204,0.529999702334639,0.466866754057559,""
"GROUNDTEMP",1,7.75099285259768,7.75099285259768,0.325449416731808,0.568546347247072,""
"RH",1,81.557010470511,81.557010470511,3.42442342455808,0.0646880734441391,""
"AIRP",1,42.3498813159203,42.3498813159203,1.77819079891273,0.182834479651082,""
"Residuals",656,15623.476490954,23.8162751386493,NA,NA,""
