"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,9216.63697705803,3072.21232568601,2.32557753500846,0.0829250938138415,""
"Week",2,14320.0632943525,7160.03164717627,5.41994074088112,0.00665289405624856,"**"
"AIRTEMP",1,954.758456836618,954.758456836618,0.72272505386905,0.398372145169911,""
"WINDSPEED",1,6725.86397487071,6725.86397487071,5.09128813549348,0.0274162045181388,"*"
"Rain",1,97.4433537545578,97.4433537545578,0.0737618531547557,0.786797007727269,""
"RAD",1,519.575567692223,519.575567692223,0.3933039581483,0.53276457511326,""
"GROUNDTEMP",1,117.170604515027,117.170604515027,0.0886948220815633,0.76679286653707,""
"RH",1,1641.35691602368,1641.35691602368,1.24246060043493,0.269101847543571,""
"AIRP",1,2134.44868670144,2134.44868670144,1.61571707590646,0.208220107982586,""
"Residuals",65,85868.4770399901,1321.05349292292,NA,NA,""
