"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,2828.39285714286,942.797619047619,5.13109301773099,0.00970376037877551,"**"
"AIRTEMP",1,1.11660455352898,1.11660455352898,0.00607702195299008,0.93872368691499,""
"WINDSPEED",1,574.894789249585,574.894789249585,3.12881426453781,0.093861649206805,""
"RAD",1,191.514054478872,191.514054478872,1.04229837653446,0.320813955026392,""
"GROUNDTEMP",1,286.284460077956,286.284460077956,1.55807796340722,0.227940026748899,""
"RH",1,62.5122739579855,62.5122739579855,0.340217546107427,0.566940802274476,""
"AIRP",1,84.0349605391817,84.0349605391817,0.45735287251093,0.507461143393162,""
"Residuals",18,3307.35714285717,183.742063492065,NA,NA,""
