"Sum Sq","Df","F value","Pr(>F)"
8513.13350284145,3,2.14806681396011,0.102678229422448
148.016684525777,2,0.0560222145881011,0.945563733876939
647.952376747038,1,0.490481559011965,0.486211875560412
8676.93377324931,1,6.5681925975995,0.012706176184793
16.66303359835,1,0.0126134435037009,0.910924061929668
3559.92039728483,1,2.69475870307739,0.105508920162422
6.71681985670875,1,0.00508444199473506,0.943373741943898
2172.62100945319,1,1.64461244082259,0.204248500067055
2134.44868670143,1,1.61571707590645,0.208220107982587
85868.4770399901,65,NA,NA
