"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,27108.8095238095,9036.26984126982,4.2093610492585,0.0225124126859086,"*"
"AIRTEMP",1,14652.3984531028,14652.3984531028,6.82551942451057,0.0188530116580428,"*"
"WINDSPEED",1,67.3338654219427,67.3338654219427,0.03136610076745,0.861648655099379,""
"Rain",1,1828.98399312702,1828.98399312702,0.851994696442606,0.369699553872878,""
"RAD",1,1709.00904730403,1709.00904730403,0.79610682758684,0.385482658150075,""
"GROUNDTEMP",1,141.113723918831,141.113723918831,0.0657349352568992,0.800918493184444,""
"RH",1,29.0203451070757,29.0203451070757,0.0135185328100602,0.908886026952254,""
"Residuals",16,34347.3310482088,2146.70819051305,NA,NA,""
