"term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"Week","2-1",0,-0.485950413223144,-0.705953248895416,-0.265947577550872,8.29017003822763e-07
"Week","3-1",0,-0.741176470588233,-1.06257335117663,-0.419779589999834,2.46714424223526e-07
"Week","3-2",0,-0.255226057365089,-0.593360403309442,0.0829082885792641,0.179518772601982
