"term","df","sumsq","meansq","statistic","p.value","significance"
"Week",2,58.0323918600778,29.0161959300389,22.2540401658355,4.23082343061225e-10,"***"
"Residuals",709,924.438113757901,1.3038619375993,NA,NA,""
