"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,27.5908123264292,9.19693744214306,6.81911214028632,0.000155652873959537,"***"
"Residuals",708,954.879693291549,1.34870013176772,NA,NA,""
